mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.11044915517171223,0.012627241800299683,0.04368178049723307,0.006966216441334303,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5283726027397256,-0.4690000000000003,-0.43586027397260374,-0.47774429223744325,0.038270787192752,26
0.17580326398213705,0.00871733121322967,0.04141728083292643,0.005870686704390415,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5182561643835625,-0.4746890410958887,-0.4377753424657533,-0.47690684931506816,0.032893562481781796,24
0.3069094816843669,0.0056565476124287506,0.05719256401062012,0.007072024961648015,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5192191780821911,-0.47687739726026873,-0.4333499999999988,-0.4764821917808195,0.0350570589815713,22
0.1160753568013509,0.004042087427929847,0.04749600092569987,0.012764717273719053,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5038712946490348,-0.4772352502520318,-0.43310874012593176,-0.4714050950089994,0.029181361783133374,13
0.1727160612742106,0.01774300229623465,0.04804825782775879,0.000956569508905428,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.507275352744668,-0.4764278606097101,-0.43823948780291183,-0.4739809003857633,0.028236836140253404,19
0.29140154520670575,0.013359870988420543,0.055278619130452476,0.005605888351737161,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080087336103772,-0.47528235052238377,-0.4373044419602449,-0.47353184203100196,0.028891433844890683,16
0.08973455429077148,0.005170664719816914,0.043390353520711265,0.008520220362306749,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4920350577907187,-0.4770436351278368,-0.4359337587532391,-0.4683374838905982,0.023716193348953675,8
0.1465473175048828,0.007284155722380079,0.048603057861328125,0.001918211056664863,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214696,-0.4717926209927981,-0.4375018377604399,-0.46634359922179497,0.021669943183090748,2
0.27989037831624347,0.015556262253009693,0.05059321721394857,0.0009106701191183462,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4914936512197564,-0.47203546231209337,-0.43703004650312416,-0.46685305334499133,0.022534626418160956,5
0.08732787768046062,0.006490165104293564,0.03237652778625488,0.0034109296670503586,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5282031572124013,-0.4710537782668647,-0.42856831758321956,-0.47594175102082853,0.04082233477902189,21
0.14439121882120767,0.0051162322322698605,0.04276283582051595,0.006445826743855937,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5209910852649128,-0.4714825458848298,-0.43347918915674033,-0.4753176067688276,0.035829352576715365,20
0.2937864462534587,0.033704011921594154,0.0546874205271403,0.007151979206700739,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5172597579246978,-0.46693569030867305,-0.4294038933343798,-0.47119978052258354,0.03599351871973944,11
0.09635202089945476,0.00565835490208256,0.03763659795125326,0.0016376441695925138,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5041209372022675,-0.4769489560378818,-0.43158927181792034,-0.47088638835268987,0.029919633086652596,10
0.16010173161824545,0.007910395443204666,0.04192709922790527,0.00602906188393949,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5073221832505396,-0.47458621779972116,-0.4370195833997584,-0.472975994816673,0.028723492127364053,15
0.2714337507883708,0.004583166446269935,0.056089162826538086,0.00890960415352339,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080138876175526,-0.4729369332853379,-0.43384676775562864,-0.47159919621950636,0.030293371909778374,14
0.09183947245279948,0.0009491009394721989,0.046729485193888344,0.0009438646234519682,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4920350577907191,-0.47626431103287,-0.4356188369089132,-0.4679727352441674,0.023766365118812027,7
0.15522122383117676,0.008979618883070892,0.04472454388936361,0.006605413448175917,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.489736338912147,-0.4715186269113713,-0.43743264647720714,-0.4662292041002418,0.021677985082234456,1
0.2816072305043538,0.011957950361515918,0.06969809532165527,0.008288513873308081,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4914936512197568,-0.471812473075229,-0.4363577452878449,-0.46655462319427693,0.022814115071758116,4
0.08769710858662923,0.00891237345476646,0.03680062294006348,0.008937427338367282,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5281075342465752,-0.4688481911087395,-0.4384455098934556,-0.4784670784162568,0.03723091813310447,27
0.15130241711934408,0.007831085534511041,0.036346753438313804,0.006101234729242496,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5181085616438365,-0.4752921712229916,-0.43929607197216813,-0.47756560161299877,0.03221519823898199,25
